platform,simulator,dataset_variant,perturbation,replicate,summary,score,delta,expected_damaged_layer,evidence_state
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_high,3,Balanced Realism,0.8155340454607051,-0.15438240717709606,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_high,3,Spatial Tissue Fidelity,0.905643661713211,-0.06180998363086454,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_high,3,Novelty-Gated Plausibility,0.0005797066417022286,0.000170594374988455,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_high,4,Balanced Realism,0.8180512023687414,-0.15186525026905973,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_high,4,Spatial Tissue Fidelity,0.9086183349103111,-0.05883531043376444,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_high,4,Novelty-Gated Plausibility,0.002193955270649696,0.0017848430039359223,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_low,0,Balanced Realism,0.9686741806030202,-0.001242272034780889,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_low,0,Spatial Tissue Fidelity,0.9660098973211793,-0.001443748022896263,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_low,0,Novelty-Gated Plausibility,0.0004026730415439457,-6.439225169827944e-06,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_low,1,Balanced Realism,0.9702869116974986,0.00037045905969745885,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_low,1,Spatial Tissue Fidelity,0.968840477555994,0.0013868322119184873,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_low,1,Novelty-Gated Plausibility,0.00043466168690298564,2.554942018921202e-05,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_low,2,Balanced Realism,0.9684667863126809,-0.0014496663251202246,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_low,2,Spatial Tissue Fidelity,0.9659945432630677,-0.001459102081007857,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_low,2,Novelty-Gated Plausibility,0.00044754464793984064,3.843238122606702e-05,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_low,3,Balanced Realism,0.9694265261092658,-0.0004899265285353005,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_low,3,Spatial Tissue Fidelity,0.9674150036362477,-3.864170782785781e-05,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_low,3,Novelty-Gated Plausibility,0.00041137437694885613,2.2621102350825094e-06,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_low,4,Balanced Realism,0.9715854671603006,0.0016690145224994568,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_low,4,Spatial Tissue Fidelity,0.970262670244801,0.002809024900725432,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_low,4,Novelty-Gated Plausibility,0.0004096465811157688,5.343144019951665e-07,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_medium,0,Balanced Realism,0.962768143819368,-0.007148308818433091,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_medium,0,Spatial Tissue Fidelity,0.9615646561662641,-0.005888989177811443,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_medium,0,Novelty-Gated Plausibility,0.0004092956374171776,1.8337070340396265e-07,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_medium,1,Balanced Realism,0.958357118949684,-0.011559333688117124,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_medium,1,Spatial Tissue Fidelity,0.9572436766740022,-0.010209968670073288,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_medium,1,Novelty-Gated Plausibility,0.00046786478253435667,5.875251582058305e-05,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_medium,2,Balanced Realism,0.9598389403572349,-0.010077512280566192,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_medium,2,Spatial Tissue Fidelity,0.9586832952396573,-0.008770350104418179,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_medium,2,Novelty-Gated Plausibility,0.00048643974782438767,7.732748111061405e-05,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_medium,3,Balanced Realism,0.9590521067731512,-0.010864345864649905,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_medium,3,Spatial Tissue Fidelity,0.9600951286464617,-0.007358516697613782,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_medium,3,Novelty-Gated Plausibility,0.0004196254824823005,1.0513215768526878e-05,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_medium,4,Balanced Realism,0.9604404766084833,-0.009475976029317823,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_medium,4,Spatial Tissue Fidelity,0.9601076082908184,-0.007346037053257093,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_medium,4,Novelty-Gated Plausibility,0.0004122125990666499,3.1003323528762524e-06,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_high,0,Balanced Realism,0.926238893086108,-0.04367755955169317,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_high,0,Spatial Tissue Fidelity,0.931638832475309,-0.03581481286876653,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_high,0,Novelty-Gated Plausibility,0.0004605619898771867,5.1449723163413065e-05,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_high,1,Balanced Realism,0.9230494469340556,-0.04686700570374558,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_high,1,Spatial Tissue Fidelity,0.9301083541204958,-0.03734529122357977,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_high,1,Novelty-Gated Plausibility,0.000569292947646133,0.00016018068093235938,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_high,2,Balanced Realism,0.9259526872722741,-0.04396376536552704,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_high,2,Spatial Tissue Fidelity,0.9330550189400313,-0.03439862640404423,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_high,2,Novelty-Gated Plausibility,0.0005802337413976699,0.0001711214746838963,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_high,3,Balanced Realism,0.9207074743790642,-0.049208978258736935,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_high,3,Spatial Tissue Fidelity,0.9300689336155864,-0.03738471172848912,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_high,3,Novelty-Gated Plausibility,0.0004884860587653117,7.937379205153811e-05,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_high,4,Balanced Realism,0.9226714953555639,-0.04724495728223721,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_high,4,Spatial Tissue Fidelity,0.9302951692910507,-0.0371584760530248,expression,computed
Visium,SRTsim-rb-tissue,Spapros,library_size_resampling_high,4,Novelty-Gated Plausibility,0.00044072722093056813,3.1614954216794514e-05,expression,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_smoothing_low,0,Balanced Realism,0.9262479342415904,-0.043668518396210776,spatial_gene,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_smoothing_low,0,Spatial Tissue Fidelity,0.9680011191416072,0.0005474737975317279,spatial_gene,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_smoothing_low,0,Novelty-Gated Plausibility,0.0003858000416066601,-2.33122251071135e-05,spatial_gene,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_smoothing_low,1,Balanced Realism,0.9262479342415904,-0.043668518396210776,spatial_gene,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_smoothing_low,1,Spatial Tissue Fidelity,0.9680011191416072,0.0005474737975317279,spatial_gene,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_smoothing_low,1,Novelty-Gated Plausibility,0.0003858000416066601,-2.33122251071135e-05,spatial_gene,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_smoothing_low,2,Balanced Realism,0.9262479342415904,-0.043668518396210776,spatial_gene,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_smoothing_low,2,Spatial Tissue Fidelity,0.9680011191416072,0.0005474737975317279,spatial_gene,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_smoothing_low,2,Novelty-Gated Plausibility,0.0003858000416066601,-2.33122251071135e-05,spatial_gene,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_smoothing_low,3,Balanced Realism,0.9262479342415904,-0.043668518396210776,spatial_gene,computed
